Kommunenummer	Stadnamn	Prioritet	Stadtype nynorsk	Stadtype bokm�l	Stadtype engelsk	Kommune	Fylke	Lat	Lon	HÃ¸gd	Nynorsk	BokmÃ¥l	Engelsk	
1029	Lindesnes	40	Fyr	Fyr	Light house	Lindesnes	Vest-Agder	57.98250	7.04666	13	http://www.yr.no/stad/Noreg/Vest-Agder/Lindesnes/Lindesnes~28/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Lindesnes/Lindesnes~28/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Lindesnes/Lindesnes~28/forecast.xml	
1029	Nedre VÃ¥ge	99	Grend	Grend	Village	Lindesnes	Vest-Agder	57.98915	7.06157		http://www.yr.no/stad/Noreg/Vest-Agder/Lindesnes/Nedre_VÃ¥ge/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Lindesnes/Nedre_VÃ¥ge/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Lindesnes/Nedre_VÃ¥ge/forecast.xml	
1029	Ã˜vre VÃ¥ge	99	Grend	Grend	Village	Lindesnes	Vest-Agder	57.99146	7.06973		http://www.yr.no/stad/Noreg/Vest-Agder/Lindesnes/Ã˜vre_VÃ¥ge/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Lindesnes/Ã˜vre_VÃ¥ge/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Lindesnes/Ã˜vre_VÃ¥ge/forecast.xml	
1002	Dyrestad	99	Grend	Grend	Village	Mandal	Vest-Agder	57.99421	7.50221		http://www.yr.no/stad/Noreg/Vest-Agder/Mandal/Dyrestad/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Mandal/Dyrestad/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Mandal/Dyrestad/forecast.xml	
1002	Berge	99	Grend	Grend	Village	Mandal	Vest-Agder	57.99419	7.53298		http://www.yr.no/stad/Noreg/Vest-Agder/Mandal/Berge/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Mandal/Berge/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Mandal/Berge/forecast.xml	
1002	SkjernÃ¸ya	60	Ã˜y i sjÃ¸	Ã˜y i sjÃ¸	Island in sea	Mandal	Vest-Agder	57.98787	7.52256		http://www.yr.no/stad/Noreg/Vest-Agder/Mandal/SkjernÃ¸ya/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Mandal/SkjernÃ¸ya/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Mandal/SkjernÃ¸ya/forecast.xml	
1002	Valvik	99	Grend	Grend	Village	Mandal	Vest-Agder	57.99065	7.50958		http://www.yr.no/stad/Noreg/Vest-Agder/Mandal/Valvik/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Mandal/Valvik/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Mandal/Valvik/forecast.xml	
1002	Farestad	99	Grend	Grend	Village	Mandal	Vest-Agder	57.98778	7.53067		http://www.yr.no/stad/Noreg/Vest-Agder/Mandal/Farestad/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Mandal/Farestad/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Mandal/Farestad/forecast.xml	
1002	Rossnes	99	Grend	Grend	Village	Mandal	Vest-Agder	57.98792	7.53638		http://www.yr.no/stad/Noreg/Vest-Agder/Mandal/Rossnes/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Mandal/Rossnes/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Mandal/Rossnes/forecast.xml	
1002	LandÃ¸y	99	Grend	Grend	Village	Mandal	Vest-Agder	57.99100	7.59402		http://www.yr.no/stad/Noreg/Vest-Agder/Mandal/LandÃ¸y/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Mandal/LandÃ¸y/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Mandal/LandÃ¸y/forecast.xml	
